,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@DaltBrewer The embarrassing hose down photos were highly motivating tbh,3400,135,2022-10-02 23:47:07+00:00
1,elonmusk,https://t.co/inO8f1q38o,65604,4046,2022-10-02 23:29:18+00:00
2,elonmusk,@WholeMarsBlog Tunneled under the road from one property to another. This is to test the new machine.,3560,156,2022-10-02 23:27:29+00:00
3,elonmusk,"@PPathole Unfortunately, snail is still faster, but TBC might beat snail by end of 2024",2833,128,2022-10-02 23:26:23+00:00
4,elonmusk,Prufrock II emerging from the ground https://t.co/csamCrmAZa,34112,2278,2022-10-02 23:03:40+00:00
5,elonmusk,"@OwenSparks_ @GerberKawasaki But between now and then, we do actually need to work hard",2793,178,2022-10-02 22:08:53+00:00
6,elonmusk,"@GerberKawasaki I don’t care about boosting the stock, but the economic implications are obvious",11124,655,2022-10-02 22:07:05+00:00
7,elonmusk,Do not let ancient grudge break to new mutiny,67221,5587,2022-10-02 18:49:35+00:00
8,elonmusk,@chicago_glenn @Pontifex So many talented Russians in America,2547,115,2022-10-02 18:32:23+00:00
9,elonmusk,@WholeMarsBlog Customer experience suffers when there is an end of quarter rush. Steady as she goes is the right move.,4237,296,2022-10-02 18:22:52+00:00
10,elonmusk,@Pontifex War always gives ample reason for vengeance for all sides. Only by overcoming this instinct can there be peace.,28130,2011,2022-10-02 18:21:23+00:00
11,elonmusk,@WholeMarsBlog Smoothing out crazy end of quarter delivery wave to reduce expedite costs &amp; relieve stress on Tesla team. Aiming for steadier deliveries intra-quarter.,3209,292,2022-10-02 18:17:15+00:00
12,elonmusk,"@WholeMarsBlog It’s funny reading simultaneous criticism that it’s already been done, but also it’s impossible 🤣",3981,254,2022-10-02 18:05:45+00:00
13,elonmusk,@streetpeopleLA @KitsonLA ??,16863,633,2022-10-02 18:00:55+00:00
14,elonmusk,@DoctorJack16 Master Plan (mé·nage à) Trois is all about tonnage,5055,320,2022-10-02 16:46:20+00:00
15,elonmusk,"@OriolVinyalsML @Tesla @karpathy Thanks, we have a great team",5643,231,2022-10-02 15:04:52+00:00
16,elonmusk,@Rainmaker1973 Beautiful,12632,429,2022-10-02 15:03:23+00:00
17,elonmusk,@wintonARK Exactly,6726,233,2022-10-02 11:41:10+00:00
18,elonmusk,https://t.co/HdUl0etoao,196734,11960,2022-10-02 11:15:14+00:00
19,elonmusk,"Recording of Tesla AI Day 2022 
https://t.co/7LR51x7pXa",20683,2358,2022-10-02 01:29:06+00:00
20,elonmusk,Join https://t.co/FgKC8Zt4k9,18747,1628,2022-10-02 01:25:38+00:00
21,elonmusk,@chicago_glenn @EvasTeslaSPlaid A little,1812,67,2022-10-02 00:28:32+00:00
22,elonmusk,@WholeMarsBlog That and giving it a brain,7879,435,2022-10-02 00:27:37+00:00
23,elonmusk,@EvasTeslaSPlaid And Wegovy,1370,57,2022-10-02 00:26:29+00:00
24,elonmusk,@ICannot_Enough Yes,11140,375,2022-10-02 00:06:42+00:00
